Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Human Resources,Group C,Part Time,Single,27,Seattle,00:00.0,Non Active,4,18,1 Year,3 Years,Masters,Low,High,Low,High,Best,Hunt,Male,107779,White Collar,1889
Customer Service,Group D,Part Time,Single,56,Seattle,00:00.0,Non Active,6,8,1 Year,3 Years,Masters,Low,Very High,Outstanding,Low,Better,Byers,Male,84605,White Collar,1935
Quality Assurance,Group D,Part Time,Single,52,Houston,00:00.0,Non Active,3,13,1 Year,3 Years,Bachelor,High,Low,Good,Medium,Bad,Hatfield,Male,87298,White Collar,1963
Sales and Marketing,Group D,Part Time,Single,27,Los Angeles,00:00.0,Non Active,11,17,1 Year,3 Years,College,Medium,Very High,Good,High,Good,Barr,Male,111357,White Collar,1967
Legal Department,Group A,Part Time,Single,55,Houston,00:00.0,Non Active,8,19,1 Year,3 Years,Doctor,Low,Medium,Good,Very High,Good,Rivera,Male,98828,White Collar,1981
Customer Relations,Group B,Full Time,Single,32,Seattle,00:00.0,Active,6,12,1 Year,3 Years,Bachelor,Very High,Low,Excellent,Medium,Bad,Cash,Female,70704,White Collar,2009
Payroll,Group C,Part Time,Single,29,Los Angeles,00:00.0,Non Active,6,5,1 Year,3 Years,Masters,Medium,Medium,Outstanding,High,Better,Harmon,Female,80722,White Collar,2101
Quality Assurance,Group A,Full Time,Married,61,Seattle,00:00.0,Active,10,12,1 Year,3 Years,College,Medium,Very High,Outstanding,High,Better,Curry,Female,116405,White Collar,2128
Public Relations,Group D,Part Time,Married,40,New York City,00:00.0,Active,4,6,1 Year,3 Years,Masters,Low,Low,Good,Very High,Better,Hart,Male,113902,White Collar,2195
Finances,Group D,Part Time,Married,39,Seattle,00:00.0,Non Active,3,11,1 Year,3 Years,Masters,High,Low,Outstanding,Very High,Best,Pearson,Male,84813,White Collar,2240
Accounting,Group C,Full Time,Married,45,Los Angeles,00:00.0,Active,6,10,1 Year,3 Years,Masters,Low,Low,Outstanding,Very High,Good,Ray,Male,76265,White Collar,2265
Accounting,Group B,Full Time,Single,30,Los Angeles,00:00.0,Non Active,2,13,1 Year,3 Years,Masters,Low,Medium,Low,Very High,Better,Nelson,Female,83944,White Collar,2272
Sales and Marketing,Group A,Part Time,Single,37,New York City,00:00.0,Active,8,11,1 Year,3 Years,Masters,High,Low,Outstanding,Low,Better,Dominguez,Female,110292,White Collar,2309
Tech Support,Group B,Full Time,Married,53,Seattle,00:00.0,Active,10,16,1 Year,3 Years,College,Very High,Low,Excellent,Very High,Bad,Vargas,Male,90566,White Collar,2372
Payroll,Group C,Part Time,Single,30,Los Angeles,00:00.0,Active,4,17,1 Year,3 Years,Bachelor,Low,High,Excellent,Medium,Best,Barrera,Female,87194,White Collar,2429
Sales and Marketing,Group B,Full Time,Divorced,64,New York City,00:00.0,Active,7,17,1 Year,3 Years,Doctor,Medium,Medium,Excellent,Very High,Bad,Guerrero,Female,88478,White Collar,2475
Research and Development,Group D,Part Time,Married,42,Seattle,00:00.0,Non Active,10,16,1 Year,3 Years,Bachelor,Medium,Low,Low,Low,Good,Riddle,Male,109623,White Collar,2512
Accounting,Group D,Part Time,Married,37,Los Angeles,00:00.0,Non Active,2,12,1 Year,3 Years,Bachelor,High,Low,Good,Low,Better,Hayes,Male,73209,White Collar,2519
Customer Service,Group D,Full Time,Divorced,59,Houston,00:00.0,Active,6,9,1 Year,3 Years,Bachelor,Low,Very High,Low,High,Bad,Roberson,Female,95671,White Collar,2537
Quality Assurance,Group D,Full Time,Married,25,Houston,00:00.0,Active,10,10,1 Year,3 Years,College,High,Medium,Excellent,Low,Good,Black,Male,98738,White Collar,2600
Advertising,Group B,Full Time,Divorced,30,New York City,00:00.0,Non Active,10,5,1 Year,3 Years,Doctor,Medium,Very High,Outstanding,Low,Bad,Pennington,Male,97331,White Collar,2671
Public Relations,Group D,Full Time,Divorced,65,Los Angeles,00:00.0,Non Active,2,17,1 Year,3 Years,Doctor,Very High,High,Excellent,Very High,Better,Guerra,Female,74277,White Collar,2690
Finances,Group D,Full Time,Single,40,Houston,00:00.0,Active,4,9,1 Year,3 Years,College,Very High,Very High,Good,Medium,Bad,Cortez,Female,113416,White Collar,2698
Human Resources,Group C,Full Time,Divorced,25,Seattle,00:00.0,Non Active,5,18,1 Year,3 Years,College,Low,Medium,Good,Low,Bad,Campbell,Female,83106,White Collar,2710
Accounting,Group B,Full Time,Single,25,Seattle,00:00.0,Non Active,7,10,1 Year,3 Years,Masters,Very High,High,Low,Medium,Better,Bowman,Female,118299,White Collar,2783
Payroll,Group D,Full Time,Married,51,Seattle,00:00.0,Non Active,1,20,1 Year,3 Years,Doctor,Low,Very High,Outstanding,Medium,Bad,Richardson,Male,100558,White Collar,2829
Advertising,Group C,Full Time,Divorced,37,New York City,00:00.0,Non Active,2,14,1 Year,3 Years,College,Medium,Very High,Good,Very High,Better,Tyler,Male,106566,White Collar,2844
Tech Support,Group C,Full Time,Divorced,36,New York City,00:00.0,Active,7,20,1 Year,3 Years,Masters,Very High,Medium,Low,Medium,Bad,Delgado,Male,119052,White Collar,2881
Asset Management,Group C,Full Time,Single,39,Houston,00:00.0,Active,11,14,1 Year,3 Years,College,Very High,Medium,Low,Low,Bad,Valentine,Male,108680,White Collar,2891
Legal Department,Group B,Part Time,Divorced,59,Houston,00:00.0,Non Active,2,16,1 Year,3 Years,College,Low,Medium,Good,Low,Bad,Cobb,Female,97553,White Collar,2900
Legal Department,Group A,Full Time,Married,27,New York City,00:00.0,Non Active,7,15,1 Year,3 Years,Masters,Medium,Very High,Low,Low,Best,Suarez,Male,112573,White Collar,2901
Legal Department,Group B,Part Time,Single,36,Los Angeles,00:00.0,Active,1,15,1 Year,3 Years,Bachelor,Very High,Very High,Excellent,High,Better,Bass,Male,105805,White Collar,2918
Legal Department,Group C,Full Time,Single,52,Seattle,00:00.0,Non Active,1,10,1 Year,3 Years,College,Low,High,Low,Medium,Good,Boyd,Male,74509,White Collar,2943
Quality Assurance,Group D,Part Time,Divorced,29,Seattle,00:00.0,Non Active,9,15,1 Year,3 Years,Masters,High,Medium,Outstanding,Very High,Better,Juarez,Male,83230,White Collar,2976
Legal Department,Group C,Full Time,Single,54,Los Angeles,00:00.0,Active,4,19,1 Year,3 Years,Bachelor,Very High,Very High,Excellent,Very High,Good,Valenzuela,Female,88684,White Collar,2986
Finances,Group D,Part Time,Single,65,Los Angeles,00:00.0,Non Active,4,16,1 Year,3 Years,Masters,Low,High,Outstanding,Low,Best,Tillman,Male,107572,White Collar,3057
Sales and Marketing,Group A,Part Time,Single,25,New York City,00:00.0,Active,8,13,1 Year,3 Years,College,Very High,Low,Excellent,Very High,Bad,Wall,Male,113707,White Collar,3080
Payroll,Group D,Part Time,Single,55,Houston,00:00.0,Non Active,4,6,1 Year,3 Years,Bachelor,Low,Low,Good,Medium,Good,Gibson,Male,115766,White Collar,3124
Customer Service,Group A,Part Time,Single,41,Los Angeles,00:00.0,Active,4,10,1 Year,3 Years,Doctor,High,Medium,Low,Very High,Best,Brewer,Female,85590,White Collar,3144
Customer Relations,Group C,Part Time,Married,51,Seattle,00:00.0,Non Active,4,17,1 Year,3 Years,Masters,Very High,Very High,Excellent,High,Better,Kidd,Male,71583,White Collar,3167
Finances,Group A,Full Time,Single,38,Los Angeles,00:00.0,Active,3,19,1 Year,3 Years,Doctor,Very High,Very High,Outstanding,High,Better,Oneal,Male,84969,White Collar,3187
Sales and Marketing,Group C,Full Time,Divorced,41,New York City,00:00.0,Non Active,3,13,1 Year,3 Years,College,Very High,Very High,Good,Medium,Bad,Armstrong,Female,91889,White Collar,3252
Asset Management,Group C,Full Time,Single,62,Los Angeles,00:00.0,Active,5,15,1 Year,3 Years,Masters,High,High,Good,High,Best,Guzman,Female,108960,White Collar,3372
Advertising,Group A,Full Time,Single,38,New York City,00:00.0,Non Active,3,20,1 Year,3 Years,Doctor,Very High,High,Low,Low,Good,Frost,Female,105125,White Collar,3373
Public Relations,Group C,Part Time,Divorced,49,New York City,00:00.0,Non Active,4,19,1 Year,3 Years,Bachelor,High,Medium,Good,Medium,Better,Lynch,Male,118364,White Collar,3401
Public Relations,Group D,Part Time,Divorced,38,New York City,00:00.0,Non Active,11,20,1 Year,3 Years,Masters,Very High,Very High,Low,Low,Best,Hammond,Male,97271,White Collar,3479
Public Relations,Group C,Part Time,Married,40,Seattle,00:00.0,Active,6,11,1 Year,3 Years,College,Medium,Low,Excellent,Low,Best,Velazquez,Female,89022,White Collar,3486
Finances,Group B,Full Time,Divorced,47,Seattle,00:00.0,Non Active,1,16,2 Years,3 Years,Doctor,Low,Medium,Good,Medium,Bad,Slater,Male,114631,White Collar,130
Payroll,Group D,Part Time,Divorced,29,Los Angeles,00:00.0,Non Active,6,13,2 Years,3 Years,Doctor,High,Very High,Excellent,Low,Good,Pierce,Male,98774,White Collar,158
Tech Support,Group A,Full Time,Divorced,65,Seattle,00:00.0,Non Active,12,18,2 Years,3 Years,College,Low,Medium,Outstanding,Medium,Bad,Rodriguez,Female,110773,White Collar,172
Asset Management,Group B,Full Time,Divorced,63,Seattle,00:00.0,Active,7,11,2 Years,3 Years,Doctor,Medium,Low,Outstanding,Medium,Better,Lambert,Male,91966,White Collar,206
Research and Development,Group A,Full Time,Divorced,50,New York City,00:00.0,Non Active,6,17,2 Years,3 Years,Bachelor,Very High,Medium,Excellent,Low,Better,Ortega,Female,88928,White Collar,224
Public Relations,Group D,Part Time,Divorced,36,Los Angeles,00:00.0,Active,11,17,2 Years,3 Years,Doctor,Medium,Very High,Good,Medium,Good,Holcomb,Female,72504,White Collar,238
Human Resources,Group B,Full Time,Married,42,Houston,00:00.0,Active,10,8,2 Years,3 Years,College,Low,Medium,Low,Very High,Bad,Griffin,Female,95092,White Collar,249
Tech Support,Group C,Full Time,Single,49,New York City,00:00.0,Active,4,17,2 Years,3 Years,Masters,Low,Very High,Excellent,Medium,Better,Huff,Female,75611,White Collar,268
Tech Support,Group D,Full Time,Divorced,34,Houston,00:00.0,Active,12,16,2 Years,3 Years,College,High,Medium,Low,Medium,Good,Barrett,Male,73881,White Collar,270
Public Relations,Group D,Part Time,Single,27,Houston,00:00.0,Active,7,13,2 Years,3 Years,Masters,Very High,Low,Good,Low,Good,Allen,Female,85919,White Collar,334
Tech Support,Group A,Full Time,Married,33,New York City,00:00.0,Non Active,5,19,2 Years,3 Years,Bachelor,Medium,Medium,Excellent,Low,Bad,Flynn,Female,119454,White Collar,366
Asset Management,Group C,Part Time,Divorced,42,New York City,00:00.0,Active,7,19,2 Years,3 Years,Masters,Low,Medium,Outstanding,Low,Better,Chapman,Male,90542,White Collar,382
Asset Management,Group C,Part Time,Divorced,57,Seattle,00:00.0,Active,6,19,2 Years,3 Years,College,High,Very High,Excellent,High,Bad,Jones,Male,105279,White Collar,414
Media Relations,Group D,Part Time,Married,53,New York City,00:00.0,Non Active,2,7,2 Years,3 Years,Doctor,Very High,Medium,Excellent,Very High,Bad,Hobbs,Female,110530,White Collar,437
Quality Assurance,Group D,Full Time,Divorced,33,Houston,00:00.0,Active,5,11,2 Years,3 Years,Bachelor,Medium,Very High,Outstanding,High,Best,Skinner,Female,73451,White Collar,445
Human Resources,Group A,Part Time,Divorced,59,Los Angeles,00:00.0,Active,10,16,2 Years,3 Years,Bachelor,Low,High,Outstanding,Very High,Bad,Walters,Male,98617,White Collar,461
Customer Service,Group B,Part Time,Single,58,Houston,00:00.0,Non Active,5,10,2 Years,3 Years,Doctor,Very High,Low,Good,High,Best,Snider,Female,115624,White Collar,473
Accounting,Group A,Part Time,Married,31,Los Angeles,00:00.0,Active,8,13,2 Years,3 Years,Bachelor,High,High,Outstanding,Low,Best,Campos,Male,90991,White Collar,477
Tech Support,Group C,Part Time,Single,37,Los Angeles,00:00.0,Non Active,6,8,2 Years,3 Years,Masters,Very High,Medium,Low,Medium,Good,Morris,Female,111550,White Collar,518
Quality Assurance,Group C,Part Time,Single,28,Los Angeles,00:00.0,Active,6,15,2 Years,3 Years,Masters,Low,High,Excellent,Very High,Bad,Lowe,Male,103557,White Collar,536
Quality Assurance,Group D,Full Time,Married,43,Houston,00:00.0,Non Active,3,7,2 Years,3 Years,College,Medium,Medium,Low,Low,Bad,Booth,Female,112290,White Collar,563
Human Resources,Group B,Part Time,Married,44,Houston,00:00.0,Active,7,11,2 Years,3 Years,Masters,Low,High,Low,Medium,Bad,Carter,Male,87377,White Collar,579
Quality Assurance,Group B,Part Time,Divorced,27,Los Angeles,00:00.0,Non Active,5,19,2 Years,3 Years,College,Medium,High,Outstanding,Medium,Best,Madden,Male,83877,White Collar,693
Customer Relations,Group B,Full Time,Divorced,59,Houston,00:00.0,Non Active,4,19,2 Years,3 Years,Masters,Very High,Medium,Outstanding,Low,Best,Blankenship,Male,105735,White Collar,695
Asset Management,Group A,Part Time,Single,28,Seattle,00:00.0,Active,2,9,2 Years,3 Years,Masters,High,Medium,Excellent,Medium,Bad,Mcleod,Male,119434,White Collar,697
Media Relations,Group C,Full Time,Single,59,Houston,00:00.0,Non Active,5,11,2 Years,3 Years,Bachelor,Medium,Medium,Outstanding,Medium,Best,Henderson,Male,112968,White Collar,709
Asset Management,Group B,Full Time,Single,64,New York City,00:00.0,Non Active,1,16,2 Years,3 Years,Bachelor,Medium,Very High,Outstanding,Low,Good,Booth,Male,87980,White Collar,720
Quality Assurance,Group D,Part Time,Single,52,New York City,00:00.0,Active,2,18,2 Years,3 Years,Masters,Medium,Medium,Excellent,Medium,Better,Whitney,Male,117529,White Collar,764
Media Relations,Group A,Full Time,Single,52,Houston,00:00.0,Non Active,3,10,2 Years,3 Years,Bachelor,Very High,High,Outstanding,High,Bad,Stokes,Male,105696,White Collar,819
Finances,Group B,Part Time,Divorced,35,Los Angeles,00:00.0,Active,1,8,2 Years,3 Years,Doctor,High,Very High,Outstanding,Low,Good,Hewitt,Male,87649,White Collar,830
Research and Development,Group C,Part Time,Married,48,Seattle,00:00.0,Non Active,10,17,2 Years,3 Years,Doctor,Medium,Medium,Outstanding,Low,Bad,Raymond,Female,87329,White Collar,835
Customer Service,Group B,Full Time,Divorced,43,Seattle,00:00.0,Active,8,6,2 Years,3 Years,Bachelor,High,Medium,Excellent,Low,Better,Baldwin,Female,74791,White Collar,843
Quality Assurance,Group D,Part Time,Married,30,New York City,00:00.0,Active,7,20,2 Years,3 Years,Bachelor,Very High,Medium,Outstanding,Very High,Best,Workman,Female,82877,White Collar,852
Accounting,Group B,Full Time,Married,61,Seattle,00:00.0,Non Active,2,14,2 Years,3 Years,Doctor,High,High,Low,Medium,Best,Bowen,Female,118421,White Collar,882
Research and Development,Group B,Full Time,Divorced,44,Los Angeles,00:00.0,Active,6,14,2 Years,3 Years,Doctor,Low,Medium,Outstanding,High,Better,Howell,Male,87329,White Collar,886
Advertising,Group A,Full Time,Divorced,45,New York City,00:00.0,Active,1,20,2 Years,3 Years,College,High,Medium,Good,Medium,Better,Vazquez,Female,118330,White Collar,897
Legal Department,Group B,Full Time,Married,34,Seattle,00:00.0,Active,11,10,2 Years,3 Years,Bachelor,High,High,Outstanding,Low,Bad,Calhoun,Male,102268,White Collar,951
Finances,Group A,Full Time,Married,33,Seattle,00:00.0,Active,9,17,2 Years,3 Years,Bachelor,Medium,High,Excellent,High,Better,Prince,Female,94069,White Collar,966
Payroll,Group C,Full Time,Married,63,New York City,00:00.0,Active,10,7,2 Years,3 Years,Bachelor,High,High,Excellent,Medium,Better,Nguyen,Female,90978,White Collar,984
Payroll,Group B,Full Time,Divorced,53,Los Angeles,00:00.0,Non Active,3,12,2 Years,3 Years,Masters,Low,Low,Outstanding,Low,Better,Atkins,Male,88424,White Collar,1061
Sales and Marketing,Group C,Part Time,Divorced,28,New York City,00:00.0,Active,5,10,2 Years,3 Years,Masters,Very High,High,Excellent,Low,Good,Carson,Male,72660,White Collar,1069
Customer Relations,Group B,Full Time,Married,54,Houston,00:00.0,Non Active,10,10,2 Years,3 Years,Masters,Very High,High,Good,Very High,Bad,Stein,Female,118356,White Collar,1080
Quality Assurance,Group C,Part Time,Married,42,Houston,00:00.0,Active,12,20,2 Years,3 Years,Masters,Very High,Very High,Good,High,Good,Patterson,Male,99425,White Collar,1095
Customer Relations,Group C,Part Time,Divorced,48,New York City,00:00.0,Non Active,10,5,2 Years,3 Years,Doctor,Medium,Medium,Low,Very High,Good,Schwartz,Female,111341,White Collar,1118
Tech Support,Group B,Part Time,Married,34,Los Angeles,00:00.0,Active,9,19,2 Years,3 Years,Doctor,Low,High,Low,Very High,Bad,Owens,Male,89668,White Collar,1132
Asset Management,Group A,Full Time,Married,25,Houston,00:00.0,Active,11,6,2 Years,3 Years,Bachelor,High,Very High,Outstanding,Low,Bad,Ray,Male,113869,White Collar,1153
Customer Relations,Group B,Part Time,Married,38,Los Angeles,00:00.0,Non Active,10,19,2 Years,3 Years,Doctor,Medium,Medium,Outstanding,Low,Good,Preston,Male,99141,White Collar,1156
Finances,Group B,Part Time,Single,49,Los Angeles,00:00.0,Non Active,6,8,2 Years,3 Years,College,High,Medium,Excellent,High,Bad,Sandoval,Female,81995,White Collar,1187
Human Resources,Group B,Part Time,Married,44,Los Angeles,00:00.0,Non Active,7,10,2 Years,3 Years,Masters,High,Medium,Outstanding,High,Good,Donaldson,Male,109078,White Collar,1192
Finances,Group B,Full Time,Single,27,New York City,00:00.0,Active,2,15,2 Years,3 Years,Masters,Very High,High,Low,Very High,Best,Spence,Female,108653,White Collar,1194
Customer Service,Group D,Part Time,Married,43,Seattle,00:00.0,Active,10,16,2 Years,3 Years,Masters,Medium,Very High,Good,Low,Better,Elliott,Male,103665,White Collar,1209
Media Relations,Group B,Full Time,Married,53,New York City,00:00.0,Non Active,8,9,2 Years,3 Years,Bachelor,Very High,High,Excellent,Very High,Bad,Chavez,Male,113730,White Collar,1329
Human Resources,Group C,Part Time,Single,41,Houston,00:00.0,Non Active,5,7,2 Years,3 Years,Masters,Low,Medium,Excellent,High,Good,Bowman,Male,117384,White Collar,1345
Research and Development,Group A,Full Time,Divorced,33,New York City,00:00.0,Non Active,9,15,2 Years,3 Years,Masters,Medium,Low,Good,Medium,Better,Bowman,Male,90437,White Collar,1380
Quality Assurance,Group A,Part Time,Divorced,43,Los Angeles,00:00.0,Non Active,12,8,2 Years,3 Years,Masters,Very High,Medium,Low,Very High,Better,Rowe,Female,96782,White Collar,1390
Customer Service,Group A,Full Time,Divorced,53,Seattle,00:00.0,Non Active,4,12,2 Years,3 Years,Bachelor,Medium,Low,Good,High,Bad,Jacobson,Female,87087,White Collar,1400
Quality Assurance,Group C,Full Time,Single,49,Los Angeles,00:00.0,Active,9,18,2 Years,3 Years,College,High,High,Low,Medium,Bad,Schultz,Male,104943,White Collar,1424
Human Resources,Group B,Part Time,Divorced,57,New York City,00:00.0,Active,5,12,2 Years,3 Years,Doctor,Very High,Very High,Excellent,Medium,Good,Velez,Female,97014,White Collar,1427
Media Relations,Group A,Part Time,Married,34,New York City,00:00.0,Non Active,8,20,2 Years,3 Years,Masters,Very High,High,Good,Very High,Better,Page,Male,92618,White Collar,1434
Tech Support,Group C,Part Time,Divorced,31,Los Angeles,00:00.0,Non Active,10,11,2 Years,3 Years,College,Very High,Medium,Good,Low,Good,Holcomb,Female,73460,White Collar,1441
Customer Service,Group C,Part Time,Married,37,Houston,00:00.0,Non Active,9,13,2 Years,3 Years,Bachelor,Low,High,Good,Medium,Bad,Walton,Male,89200,White Collar,1527
Quality Assurance,Group C,Full Time,Married,40,Houston,00:00.0,Active,1,7,2 Years,3 Years,Masters,High,Low,Excellent,Medium,Better,Mccarty,Male,90409,White Collar,1599
Public Relations,Group B,Full Time,Married,54,Houston,00:00.0,Active,1,14,2 Years,3 Years,College,Very High,Low,Good,Low,Better,Newton,Female,93861,White Collar,1608
Legal Department,Group B,Part Time,Divorced,57,Seattle,00:00.0,Non Active,7,8,2 Years,3 Years,College,Low,Very High,Excellent,High,Bad,Campos,Male,112464,White Collar,1623
Sales and Marketing,Group D,Part Time,Divorced,49,Houston,00:00.0,Active,4,15,2 Years,3 Years,Doctor,Medium,Very High,Low,Very High,Bad,Stephens,Male,75682,White Collar,1701
Finances,Group D,Full Time,Single,40,Los Angeles,00:00.0,Active,7,11,2 Years,3 Years,Doctor,Very High,Low,Outstanding,High,Good,Vincent,Male,97240,White Collar,1706
